市区町村,latitude,longitude,合計特殊出生率
札幌市,43.05546,141.340956,1.09
函館市,41.768793,140.72881,1.18
小樽市,43.190717,140.994662,1.12
旭川市,43.770636,142.364819,1.29
室蘭市,42.315231,140.973799,1.38
釧路市,42.984854,144.381356,1.22
帯広市,42.923899,143.196103,1.29
北見市,43.804031,143.895876,1.31
夕張市,43.056734,141.973896,1.2
岩見沢市,43.196206,141.775933,1.16
網走市,44.020632,144.273398,1.34
留萌市,43.940987,141.637012,1.43
苫小牧市,42.634302,141.605372,1.41
稚内市,45.415664,141.673082,1.43
美唄市,43.332881,141.853785,1.15
芦別市,43.518166,142.189436,1.3
江別市,43.103745,141.536247,1.15
赤平市,43.558074,142.044211,1.18
紋別市,44.356484,143.354503,1.28
士別市,44.178734,142.400404,1.35
名寄市,44.355938,142.463167,1.44
三笠市,43.245435,141.875327,1.4
根室市,43.330076,145.58279,1.36
千歳市,42.820958,141.650876,1.37
滝川市,43.557795,141.91019,1.35
砂川市,43.494843,141.903465,1.29
歌志内市,43.521353,142.034568,1.16
深川市,43.72326,142.053538,1.31
富良野市,43.34214,142.383225,1.46
登別市,42.41276,141.106632,1.38
恵庭市,42.882562,141.577815,1.27
伊達市,42.471851,140.864679,1.34
北広島市,42.98563,141.563543,1.14
石狩市,43.171384,141.31552,1.34
北斗市,41.82406,140.652903,1.29
当別町,43.223683,141.517072,0.97
新篠津村,43.225424,141.649216,1.33
松前町,41.430037,140.110435,1.22
福島町,41.483802,140.251326,1.28
知内町,41.598356,140.418963,1.25
木古内町,41.678264,140.437568,1.25
七飯町,41.89572,140.69428,1.35
鹿部町,42.038487,140.815939,1.39
森町,42.104795,140.576324,1.34
八雲町,42.255999,140.265281,1.52
長万部町,42.513688,140.380633,1.43
江差町,41.869156,140.12746,1.11
上ノ国町,41.801082,140.121348,1.25
厚沢部町,41.920901,140.225472,1.31
乙部町,41.968501,140.135719,1.3
奥尻町,42.172278,139.514008,1.31
今金町,42.429422,140.008878,1.28
せたな町,42.417161,139.882988,1.28
島牧村,42.70052,140.06146,1.33
寿都町,42.790979,140.22898,1.32
黒松内町,42.667864,140.30754,1.13
蘭越町,42.809075,140.528312,1.36
ニセコ町,42.804705,140.687493,1.34
真狩村,42.762971,140.803744,1.52
留寿都村,42.73736,140.875591,1.19
喜茂別町,42.795472,140.9345,1.26
京極町,42.858208,140.884088,1.3
倶知安町,42.901829,140.758698,1.49
共和町,42.980398,140.611187,1.7
岩内町,42.979785,140.514753,1.38
泊村,43.063355,140.498859,1.32
神恵内村,43.143813,140.430742,1.23
積丹町,43.298853,140.598193,1.33
古平町,43.26536,140.63882,1.24
仁木町,43.151691,140.76613,1.3
余市町,43.195232,140.783467,1.29
赤井川村,43.08349,140.813481,1.22
南幌町,43.063727,141.650069,1.22
奈井江町,43.425106,141.882788,1.23
上砂川町,43.482608,141.984084,1.32
由仁町,42.999605,141.790338,1.19
長沼町,43.010353,141.695252,1.29
栗山町,43.056309,141.784255,1.21
月形町,43.338436,141.669451,1.23
浦臼町,43.430322,141.818837,1.28
新十津川町,43.548547,141.877032,1.37
妹背牛町,43.700112,141.961711,1.21
秩父別町,43.767013,141.957958,1.38
雨竜町,43.643924,141.88899,1.2
北竜町,43.731356,141.879022,1.32
